CASE	FILES	SENT_ID	LEFT	NODE	RIGHT	NODE_SENTENCES	WORD_CLASS	USE	SYN_FUNC_NODE	PATTERN	MP	LU_POST	BODY_PART	LU	LU_GLOSS	LU_POS	NEGATION	METONYMY	SFRAME	SFRAME_URL	SFRAME_RELATED	SFRAME_RELATED_URL	SFRAME_RELATED_LINK	ROLEMAPPING_TD_IN_SFRAME	CM_ROLEMAPPING	CM_BROADER	MAP1	MAP2	MAP3	MAP4	NOTES
5911	ind_newscrawl_2012_1M	860729	Kesalahan yang fatal ketika kita mulai	marah	, anak-anak mulai membandel, susah diatur, emosi mulai meledak.	Kesalahan yang fatal ketika kita mulai <m>marah</m>, anak-anak mulai membandel, susah diatur, emosi mulai meledak.	adjective		predicative																						
1499	ind_mixed_2012_1M	538214	Ia mulai	marah	karena Yoon Bok merendahkannya melalui lukisan.	Ia mulai <m>marah</m> karena Yoon Bok merendahkannya melalui lukisan.	adjective		predicative																						
7476	ind_web_2012_1M	32246	Bagaimana jika alam mulai	marah	, meminta kebebasan untuk memilih apa yang baik buatnya?	Bagaimana jika alam mulai <m>marah</m>, meminta kebebasan untuk memilih apa yang baik buatnya?	adjective		predicative																						
93	ind_mixed_2012_1M	25664	Setelah itu mas ipul pun mulai	marah	dan menantang penghuni disana yang telah melempar kami, tetapi penghuni disana tidak berani karena mungkin mereka tidak sanggup melawan mas ipul,.	Setelah itu mas ipul pun mulai <m>marah</m> dan menantang penghuni disana yang telah melempar kami, tetapi penghuni disana tidak berani karena mungkin mereka tidak sanggup melawan mas ipul,.	adjective		predicative																						
4982	ind_newscrawl_2011_1M	910760	Eva muncul,	marah	melihat Lisa dan mengusirnya.	Eva muncul, <m>marah</m> melihat Lisa dan mengusirnya.	adjective		predicative																						
9298	ind_web_2012_1M	956062	Imam-imam mungkin marah karena menganggap bahwa rasul-rasul itu tidak mempunyai hak untuk berkhotbah, sedangkan orang Saduki mungkin	marah	karena rasul-rasul memberitakan adanya kebangkitan (ay 2 bdk.	Imam-imam mungkin marah karena menganggap bahwa rasul-rasul itu tidak mempunyai hak untuk berkhotbah, sedangkan orang Saduki mungkin <m>marah</m> karena rasul-rasul memberitakan adanya kebangkitan (ay 2 bdk.	adjective		predicative																						
8690	ind_web_2012_1M	647411	Apalagi la, aku naik	marah	lalu menyumbatkan mulutnya dengan sampah,Ó terang Rei panjang lebar.	Apalagi la, aku naik <m>marah</m> lalu menyumbatkan mulutnya dengan sampah,Ó terang Rei panjang lebar.	adjective		adverbial																						
7591	ind_web_2012_1M	91675	ÒYang awak nak	marah	saya ni kenapa?	ÒYang awak nak <m>marah</m> saya ni kenapa?	adjective		predicative																						
7656	ind_web_2012_1M	125169	Òyang Fira nak	marah	marah ni kenapa?	Òyang Fira nak <m>marah</m> marah ni kenapa?	adjective		predicative																						
659	ind_mixed_2012_1M	235086	Mana boleh saya nak	marah	"orang cantik macam awak,""balas Farid dengan nada bergurau."	"Mana boleh saya nak <m>marah</m> orang cantik macam awak,""balas Farid dengan nada bergurau."	adjective		predicative																						
163	ind_mixed_2012_1M	52553	Tak sampai hati nak	marah	lama lama.	Tak sampai hati nak <m>marah</m> lama lama.	adjective		predicative																						
8916	ind_web_2012_1M	764437	Saya tak kisah kalau awak nak	marah	saya tapi awak janganlah hukum saya seperti awak tak kenal saya.	Saya tak kisah kalau awak nak <m>marah</m> saya tapi awak janganlah hukum saya seperti awak tak kenal saya.	adjective		predicative																						
6851	ind_web_2011_300K	52866	Akhy afwan jiddan ana sudah add ant di YM ana, smoga ant nda	marah	ini merupakan washilah agar kita bisa lebih mudah untuk ber silaturrahim insya Alloh?	Akhy afwan jiddan ana sudah add ant di YM ana, smoga ant nda <m>marah</m> ini merupakan washilah agar kita bisa lebih mudah untuk ber silaturrahim insya Alloh?	adjective		predicative																						
341	ind_mixed_2012_1M	115903	Dijamin deh Mas Dony nggak	marah	soal ini.	Dijamin deh Mas Dony nggak <m>marah</m> soal ini.	adjective		predicative																						
5541	ind_newscrawl_2012_1M	462986	Nina	marah	bukan main.	Nina <m>marah</m> bukan main.	adjective		predicative																						
13505	ind-id_web_2015_3M	2934926	Vin yang sadar Nita	marah	, langsung meminta maaf dan segera memerbaiki ikatan sepatu Nita dengan benar.	Vin yang sadar Nita <m>marah</m>, langsung meminta maaf dan segera memerbaiki ikatan sepatu Nita dengan benar.	adjective		predicative																						
7948	ind_web_2012_1M	279011	Sebab tu Syikin cakap ada orang	marah	bila Ik call Syikin.	Sebab tu Syikin cakap ada orang <m>marah</m> bila Ik call Syikin.	adjective		predicative																						
1554	ind_mixed_2012_1M	559303	Mungkin ini bukan saat yang tepat untuk melakukan soul searching terhadap jurnalisme Indonesia, karena kekerasan yang dilakukan David Tjioe dan kawan-kawan membuat banyak orang	marah	.	Mungkin ini bukan saat yang tepat untuk melakukan soul searching terhadap jurnalisme Indonesia, karena kekerasan yang dilakukan David Tjioe dan kawan-kawan membuat banyak orang <m>marah</m>.	adjective		predicative																						
3271	ind_news_2009_300K	220981	Persoalan tenaga kerja adalah salah satu isu utama dalam pemilu ini, dimana banyak orang	marah	karena naiknya tingkat kontrak kerja jangka pendek.	Persoalan tenaga kerja adalah salah satu isu utama dalam pemilu ini, dimana banyak orang <m>marah</m> karena naiknya tingkat kontrak kerja jangka pendek.	adjective		predicative																						
2019	ind_mixed_2012_1M	733753	Tiba-tiba benua itu sadar bahwa dari kancah 15 juta orang muslim yang kini tinggal di sana telah muncul sejumlah orang	marah	yang mengutip ayat yang marah dan melakukan tindakan yang marah.	Tiba-tiba benua itu sadar bahwa dari kancah 15 juta orang muslim yang kini tinggal di sana telah muncul sejumlah orang <m>marah</m> yang mengutip ayat yang marah dan melakukan tindakan yang marah.	adjective		predicative																						
9996	ind_wikipedia_2016_1M	386359	Karakter ini diyakini merupakan bandit, karena berwajah seperti orang	marah	.	Karakter ini diyakini merupakan bandit, karena berwajah seperti orang <m>marah</m>.	adjective		predicative																						
8804	ind_web_2012_1M	704419	""" Kita tak rugi apa2 bila orang"	marah	atau berdendam dengan kita kalau kita sabar.	""" Kita tak rugi apa2 bila orang <m>marah</m> atau berdendam dengan kita kalau kita sabar."	adjective		predicative																						
3022	ind_news_2008_300K	248246	Pakistan	marah	pada serangan komando Amerika itu dan pelanggaran wilayah berulang kali yang mendorong pemerintah untuk merintangi sebagian jalur pasokan ke pasukan Barat di Afghanistan yang terkurung daratan Sabtu.	Pakistan <m>marah</m> pada serangan komando Amerika itu dan pelanggaran wilayah berulang kali yang mendorong pemerintah untuk merintangi sebagian jalur pasokan ke pasukan Barat di Afghanistan yang terkurung daratan Sabtu.	adjective		predicative																						
11915	ind-id_web_2015_3M	465285	Connection: close Vary: Accept-Encoding Expires: Thu, 06 Aug 2015 17:11:48 GMT Vary: Accept-Encoding,User-Agent X-Upstream-Cache-Status: MISS AS Veto PBB Atas Israel, Palestina	Marah	AS menyerukan kebebasan di dunia Arab.	Connection: close Vary: Accept-Encoding Expires: Thu, 06 Aug 2015 17:11:48 GMT Vary: Accept-Encoding,User-Agent X-Upstream-Cache-Status: MISS AS Veto PBB Atas Israel, Palestina <m>Marah</m> AS menyerukan kebebasan di dunia Arab.	adjective		predicative																						
4167	ind_newscrawl_2011_1M	166898	Yang paling	marah	dengan ulah tersangka ini adalah keluarga korban Rahmat.	Yang paling <m>marah</m> dengan ulah tersangka ini adalah keluarga korban Rahmat.	adjective		predicative																						
193	ind_mixed_2012_1M	67341	Ó Pangeran	marah	mendengarnya, Òdasar kuda tua, kita tidak bisa tetap tinggal di sini, para prajurit itu akan membunuh kita.	Ó Pangeran <m>marah</m> mendengarnya, Òdasar kuda tua, kita tidak bisa tetap tinggal di sini, para prajurit itu akan membunuh kita.	adjective		predicative																						
4143	ind_newscrawl_2011_1M	145364	Para fans pantas	marah	", mereka sudah berjalan jauh dan hanya melihat apa yang terjadi di sana,"" ujar Moratti."	"Para fans pantas <m>marah</m>, mereka sudah berjalan jauh dan hanya melihat apa yang terjadi di sana,"" ujar Moratti."	adjective		predicative																						
1417	ind_mixed_2012_1M	511197	Kalau kitodalam parsidangan	marah	jo duko usah dipakai.	Kalau kitodalam parsidangan <m>marah</m> jo duko usah dipakai.	adjective		predicative																						
11307	ind-id_web_2013_1M	556857	Mereka menginginkan sarapan yang manis-manis, tapi aku memberitahu bahwa ibu mereka pasti	marah	kalau aku mengizinkannya.	Mereka menginginkan sarapan yang manis-manis, tapi aku memberitahu bahwa ibu mereka pasti <m>marah</m> kalau aku mengizinkannya.	adjective		predicative																						
5895	ind_newscrawl_2012_1M	839995	Keributan bermula saat para pemain dari Pati	marah	karena seorang pemain dari Kudus dinilai sengaja menabrak kiper mereka.	Keributan bermula saat para pemain dari Pati <m>marah</m> karena seorang pemain dari Kudus dinilai sengaja menabrak kiper mereka.	adjective		predicative																						
4976	ind_newscrawl_2011_1M	904154	Mungkin dari situ pelaku	marah	dan mendatangi tempat kost lalu memukul,Ó kata Sb.	Mungkin dari situ pelaku <m>marah</m> dan mendatangi tempat kost lalu memukul,Ó kata Sb.	adjective		predicative																						
8850	ind_web_2012_1M	727765	Dalam permainan ini, jangan sampai pelanggan	marah	karena terlalu lama menunggu.	Dalam permainan ini, jangan sampai pelanggan <m>marah</m> karena terlalu lama menunggu.	adjective		predicative																						
6961	ind_web_2011_300K	97630	Pemanahan	marah	tapi dapat menahan diri (untuk menutupi aib semua) tapi Karebet harus berjanji bahwa anak itu(Sutowijoyo)harus jadi anak angkat Karebet,dan harus menggantikan Karebet untuk menjadi raja.	Pemanahan <m>marah</m> tapi dapat menahan diri (untuk menutupi aib semua) tapi Karebet harus berjanji bahwa anak itu(Sutowijoyo)harus jadi anak angkat Karebet,dan harus menggantikan Karebet untuk menjadi raja.	adjective		predicative																						
3011	ind_news_2008_300K	239311	Beberapa pengantre	marah	karena beberapa orang berusaha melewati antrean di depannya dengan berpura-pura cedera atau karena membawa anak kecil.	Beberapa pengantre <m>marah</m> karena beberapa orang berusaha melewati antrean di depannya dengan berpura-pura cedera atau karena membawa anak kecil.	adjective		predicative																						
8516	ind_web_2012_1M	555870	Penghuni	marah	dan mengamuk, Filep Karma dan Buchtar Tabuni, berusaha mencegah dan menghalangi teman Ğ teman napi yang melakukan pelemparan batu sehingga kaca Ğ kaca pecah.	Penghuni <m>marah</m> dan mengamuk, Filep Karma dan Buchtar Tabuni, berusaha mencegah dan menghalangi teman Ğ teman napi yang melakukan pelemparan batu sehingga kaca Ğ kaca pecah.	adjective		predicative																						
4373	ind_newscrawl_2011_1M	353369	Dulu, pencekalan film Yang Muda Yang Bercinta yang dibintangi sastrawan W.S. Rendra ditengarai terkait dengan beberapa adegan dalam film tersebut, di mana Rendra membaca puisi-puisi protes yang membuat penguasa	marah	.	Dulu, pencekalan film Yang Muda Yang Bercinta yang dibintangi sastrawan W.S. Rendra ditengarai terkait dengan beberapa adegan dalam film tersebut, di mana Rendra membaca puisi-puisi protes yang membuat penguasa <m>marah</m>.	adjective		predicative																						
7170	ind_web_2011_300K	199637	Jika kita ber andai2, seorang penguasa	marah	, pastilah org yg membuatnya marah itu akan dibuat kalang kabut, menderita deh.	Jika kita ber andai2, seorang penguasa <m>marah</m>, pastilah org yg membuatnya marah itu akan dibuat kalang kabut, menderita deh.	adjective		predicative																						
4495	ind_newscrawl_2011_1M	462251	Di beberapa daerah penumpang	marah	dan mengamuk karena pembatalan penerbangan.	Di beberapa daerah penumpang <m>marah</m> dan mengamuk karena pembatalan penerbangan.	adjective		predicative																						
4497	ind_newscrawl_2011_1M	464872	Bisakah Anda mengingat penyebab	marah	Anda?	Bisakah Anda mengingat penyebab <m>marah</m> Anda?	noun		complement																						
8319	ind_web_2012_1M	466550	Ó ÒPada saat penyebab	marah	itu ada, apa yang bapak rasakan?	Ó ÒPada saat penyebab <m>marah</m> itu ada, apa yang bapak rasakan?	noun		complement																						
12494	ind-id_web_2015_3M	1367297	Ketika mereka melihat dia di apartemennya, Lily memiliki percakapan	marah	dengan seseorang yang dia tidak ingin terlibat dengan sebelum dia tiba-tiba diculik oleh Syndicate Cayman-Global.	Ketika mereka melihat dia di apartemennya, Lily memiliki percakapan <m>marah</m> dengan seseorang yang dia tidak ingin terlibat dengan sebelum dia tiba-tiba diculik oleh Syndicate Cayman-Global.	adjective		adverbial																						
2615	ind_mixed_2012_1M	943013	Cukup banyak wanita yang memang mengalami kesulitan dengan stress yang menekannya, kalau ada stres dia mungkin perlu	marah	, perlu menangis, dia perlu cetuskan.	Cukup banyak wanita yang memang mengalami kesulitan dengan stress yang menekannya, kalau ada stres dia mungkin perlu <m>marah</m>, perlu menangis, dia perlu cetuskan.	adjective		predicative																						
8868	ind_web_2012_1M	737365	Memang, kita tidak perlu	marah	dengan apa yang dilakukan Tempo.	Memang, kita tidak perlu <m>marah</m> dengan apa yang dilakukan Tempo.	adjective		predicative																						
9060	ind_web_2012_1M	830205	Membaca hasil-hasil karya wartawan yang diajarkannya dan tidak ada perubahan, Om Julius pernah	marah	.	Membaca hasil-hasil karya wartawan yang diajarkannya dan tidak ada perubahan, Om Julius pernah <m>marah</m>.	adjective		predicative																						
8881	ind_web_2012_1M	745034	Orang bisa merujuk bahwa Tuhan Yesus juga pernah	marah	, ketika mengusir para pedagang (kaki lima?	Orang bisa merujuk bahwa Tuhan Yesus juga pernah <m>marah</m>, ketika mengusir para pedagang (kaki lima?	adjective		predicative																						
3447	ind_news_2010_300K	181194	Tanpa disadari, kita justru penganut fanatik terhadap prinsip kedaulatan ini sehingga pernah	marah	kepada Australia karena mencoba mencampuri kasus Corby di Bali beberapa tahun silam.	Tanpa disadari, kita justru penganut fanatik terhadap prinsip kedaulatan ini sehingga pernah <m>marah</m> kepada Australia karena mencoba mencampuri kasus Corby di Bali beberapa tahun silam.	adjective		predicative																						
865	ind_mixed_2012_1M	313915	GS : Ada orang yang bilang, Tuhan Yesus juga pernah	marah	, dia menggunakan alasan itu.	GS : Ada orang yang bilang, Tuhan Yesus juga pernah <m>marah</m>, dia menggunakan alasan itu.	adjective		predicative																						
13198	ind-id_web_2015_3M	2397158	Seingat saya, saya tidak pernah	marah	atau menunjukkan rasa ketidaksukaan saat prestasi anak saya kurang.	Seingat saya, saya tidak pernah <m>marah</m> atau menunjukkan rasa ketidaksukaan saat prestasi anak saya kurang.	adjective		predicative																						
1912	ind_mixed_2012_1M	689429	""" Ia menjawab, ""Lho yang saya pinjami SIM saja ndak marah, kok Pak Polisi"	marah	!	""" Ia menjawab, ""Lho yang saya pinjami SIM saja ndak marah, kok Pak Polisi <m>marah</m>!"	adjective		predicative																						
8354	ind_web_2012_1M	482883	Kalau mak ayah kita pon	marah	kalau kita tak dengar kata n lupa jasa mereka.	Kalau mak ayah kita pon <m>marah</m> kalau kita tak dengar kata n lupa jasa mereka.	adjective		predicative																						
12442	ind-id_web_2015_3M	1321460	Kemudian masih labil ketika dalam posisi	marah	.	Kemudian masih labil ketika dalam posisi <m>marah</m>.	adjective		predicative																						
11406	ind-id_web_2013_1M	746000	Saat pemanggilan tersebut, Prabowo	marah	.	Saat pemanggilan tersebut, Prabowo <m>marah</m>.	adjective		predicative																						
7335	ind_web_2011_300K	273356	Pragola	marah	karena khawatir kedudukan kakaknya (Ratu Mas Waskitajawi) terancam.	Pragola <m>marah</m> karena khawatir kedudukan kakaknya (Ratu Mas Waskitajawi) terancam.	adjective		predicative																						
1199	ind_mixed_2012_1M	429870	Prayogo	marah	dan menyalahkan Alya karena menutupi semua itu dari mereka.	Prayogo <m>marah</m> dan menyalahkan Alya karena menutupi semua itu dari mereka.	adjective		predicative																						
9960	ind_wikipedia_2016_1M	372198	John Wick pun	marah	dan langsung melacak keberadaan mereka bertiga.	John Wick pun <m>marah</m> dan langsung melacak keberadaan mereka bertiga.	adjective		predicative																						
4876	ind_newscrawl_2011_1M	804955	Ayah Rocky pun	marah	sehingga minta pimpinan kampus memecat Ajay.	Ayah Rocky pun <m>marah</m> sehingga minta pimpinan kampus memecat Ajay.	adjective		predicative																						
5767	ind_newscrawl_2012_1M	700916	Tapi kebohongan Mai terbongkar, Reyhan pun	marah	pada Mai.	Tapi kebohongan Mai terbongkar, Reyhan pun <m>marah</m> pada Mai.	adjective		predicative																						
12401	ind-id_web_2015_3M	1238758	Karena sakit hati, Dijah pun	marah	pada Hawa.	Karena sakit hati, Dijah pun <m>marah</m> pada Hawa.	adjective		predicative																						
8792	ind_web_2012_1M	696437	Sang ayah pun	marah	dan mengirimkan bencana serta seekor monster laut yang bernama Ketos ke kerajaan yang dipimpin oleh Kefeus.	Sang ayah pun <m>marah</m> dan mengirimkan bencana serta seekor monster laut yang bernama Ketos ke kerajaan yang dipimpin oleh Kefeus.	adjective		predicative																						
13525	ind-id_web_2015_3M	2955197	Warga pun	marah	dan akhirnya merobohkan balai desa yang telah mereka bangun.	Warga pun <m>marah</m> dan akhirnya merobohkan balai desa yang telah mereka bangun.	adjective		predicative																						
1232	ind_mixed_2012_1M	442885	Secuil pun	marah	, kalau dirugikan.	Secuil pun <m>marah</m>, kalau dirugikan.	adjective		predicative																						
9499	ind_wikipedia_2016_1M	63516	Bahkan JAMRUD pun	marah	mengetahui UNYU akan tobat, lalu JAMRUD mengancam UNYU untuk di masukkan kedalam botol.	Bahkan JAMRUD pun <m>marah</m> mengetahui UNYU akan tobat, lalu JAMRUD mengancam UNYU untuk di masukkan kedalam botol.	adjective		predicative																						
4048	ind_newscrawl_2011_1M	39095	Massa pun	marah	.	Massa pun <m>marah</m>.	adjective		predicative																						
4508	ind_newscrawl_2011_1M	475698	Namun ketika suaminya tak kunjung datang, tak menjemputnya dari rumah sakit, bahkan tak menjenguknya di rumah orang tuanya, AISHA pun	marah	.	Namun ketika suaminya tak kunjung datang, tak menjemputnya dari rumah sakit, bahkan tak menjenguknya di rumah orang tuanya, AISHA pun <m>marah</m>.	adjective		predicative																						
8053	ind_web_2012_1M	333041	Melihat hal demikian Qabil	marah	, dan membunuh saudaranya.	Melihat hal demikian Qabil <m>marah</m>, dan membunuh saudaranya.	adjective		predicative																						
1306	ind_mixed_2012_1M	469590	Yu Ra	marah	ke Han, kau kan yang menyebarkan berita konyol itu?	Yu Ra <m>marah</m> ke Han, kau kan yang menyebarkan berita konyol itu?	adjective		predicative																						
9007	ind_web_2012_1M	806215	Raina	marah	sama saya karena saya bilang sama dia, kalau aku saja yang mendonorkan jantung.	Raina <m>marah</m> sama saya karena saya bilang sama dia, kalau aku saja yang mendonorkan jantung.	adjective		predicative																						
10546	ind_wikipedia_2016_1M	741079	Raisha	marah	dan menganggap Yudith hanya ingin memperkaya rumah sakit.	Raisha <m>marah</m> dan menganggap Yudith hanya ingin memperkaya rumah sakit.	adjective		predicative																						
836	ind_mixed_2012_1M	303621	Sang raja	marah	karena ia menganggap Iason telah menculik kedua anaknya. maka dari itu, ketika kapal Argo mulai berlayar, sang raja mengejarnya bersama armada kerajaan.	Sang raja <m>marah</m> karena ia menganggap Iason telah menculik kedua anaknya. maka dari itu, ketika kapal Argo mulai berlayar, sang raja mengejarnya bersama armada kerajaan.	adjective		predicative																						
4770	ind_newscrawl_2011_1M	699307	Senin, 25 April 2011 - 20:56 WIB RAKYAT	marah	jika listrik PLN mati mendadak.	Senin, 25 April 2011 - 20:56 WIB RAKYAT <m>marah</m> jika listrik PLN mati mendadak.	adjective		predicative																						
3274	ind_news_2009_300K	225798	Masalah ini dimulai hari Jumat dekat Bagua ketika pengunjuk rasa	marah	dengan rencana penggalian minyak dan gas di tanah leluhur mereka.	Masalah ini dimulai hari Jumat dekat Bagua ketika pengunjuk rasa <m>marah</m> dengan rencana penggalian minyak dan gas di tanah leluhur mereka.	adjective		predicative																						
200	ind_mixed_2012_1M	69478	Tapi selain dari rasa bersalah yang juga akan kita fokuskan saat ini ialah rasa	marah	, rasa marah itu ternyata juga sering muncul pada diri yang ditinggalkan.	Tapi selain dari rasa bersalah yang juga akan kita fokuskan saat ini ialah rasa <m>marah</m>, rasa marah itu ternyata juga sering muncul pada diri yang ditinggalkan.	noun		modifier																						
8269	ind_web_2012_1M	434054	Semua emosi terlihat jelas, rasa	marah	! rasa senang, atau memang tak lagi semangat saja.	Semua emosi terlihat jelas, rasa <m>marah</m>! rasa senang, atau memang tak lagi semangat saja.	noun		modifier																						
2608	ind_mixed_2012_1M	942239	Jadi orang yang tahu dirinya mudah marah, perlu peka dengan reaksi	marah	"sehingga sebelum dia meledakkan kemarahan itu keluar dia langsung sudah berkata: ""Saya sedang marah, nah dia langsung harus katakan saya sedang marah dan karena apakah saya marah."	"Jadi orang yang tahu dirinya mudah marah, perlu peka dengan reaksi <m>marah</m> sehingga sebelum dia meledakkan kemarahan itu keluar dia langsung sudah berkata: ""Saya sedang marah, nah dia langsung harus katakan saya sedang marah dan karena apakah saya marah."	noun		modifier																						
438	ind_mixed_2012_1M	154413	Si Rebo	marah	, maka dia menyuruh untuk membunuh keduanya.	Si Rebo <m>marah</m>, maka dia menyuruh untuk membunuh keduanya.	adjective		predicative																						
5169	ind_newscrawl_2012_1M	88299	Amira begitu ketakutan melihat Reza	marah	, ia berusaha memberi penjelasan namun pemuda itu tidak mau mendengar.	Amira begitu ketakutan melihat Reza <m>marah</m>, ia berusaha memberi penjelasan namun pemuda itu tidak mau mendengar.	adjective		predicative																						
6322	ind_newscrawl_2016_1M	226276	Fahira: Hukum Mati Pembunuh AngelineFahira Idris, anggota DPD RI	marah	saat mengetahui ada luka dugaan kekerasan tumpul di kemaluan Angeline, bocah hilang yang jasadnya ditemukan terkubur di kolong kandan..	Fahira: Hukum Mati Pembunuh AngelineFahira Idris, anggota DPD RI <m>marah</m> saat mengetahui ada luka dugaan kekerasan tumpul di kemaluan Angeline, bocah hilang yang jasadnya ditemukan terkubur di kolong kandan..	adjective		predicative																						
12410	ind-id_web_2015_3M	1247459	Kasih heran karena Rio	marah	setelah mengetahui kedatangannya ke rumah Jati.	Kasih heran karena Rio <m>marah</m> setelah mengetahui kedatangannya ke rumah Jati.	adjective		predicative																						
7727	ind_web_2012_1M	161727	Rizal menuduh madun sombong, madun merasa dirinya tidak sombong, rizal	marah	kemadun dilerai gonzales.	Rizal menuduh madun sombong, madun merasa dirinya tidak sombong, rizal <m>marah</m> kemadun dilerai gonzales.	adjective		predicative																						
9791	ind_wikipedia_2016_1M	283900	Hal ini membuat Rosalyn	marah	dan semakin terpacu.	Hal ini membuat Rosalyn <m>marah</m> dan semakin terpacu.	adjective		predicative																						
5092	ind_newscrawl_2011_1M	998853	Pekan lalu Rusia	marah	sekali atas pengiriman langsung senjata oleh Prancis ke pemberontak untuk memerangai pasukan Gaddafi.	Pekan lalu Rusia <m>marah</m> sekali atas pengiriman langsung senjata oleh Prancis ke pemberontak untuk memerangai pasukan Gaddafi.	adjective		predicative																						
2169	ind_mixed_2012_1M	786711	Kesimpulan sementara, begitu tersinggung dalam sebuah percakapan, Ryan	marah	dan langsung merencanakan pembunuhan.	Kesimpulan sementara, begitu tersinggung dalam sebuah percakapan, Ryan <m>marah</m> dan langsung merencanakan pembunuhan.	adjective		predicative																						
13340	ind-id_web_2015_3M	2655769	ÒSudah sarjana, tapi packing (mengepak barang) saja tidak bisa?Ó demikian salah satu contoh sikap berlebih-lebihan dalam kata-kata saat	marah	.	ÒSudah sarjana, tapi packing (mengepak barang) saja tidak bisa?Ó demikian salah satu contoh sikap berlebih-lebihan dalam kata-kata saat <m>marah</m>.	adjective		predicative																						
13217	ind-id_web_2015_3M	2472386	Selamat dari bahaya bicara menyesatkan, apalagi saat	marah	, Bila seorang dari kamu sedang marah hendaklah diam.	Selamat dari bahaya bicara menyesatkan, apalagi saat <m>marah</m>, Bila seorang dari kamu sedang marah hendaklah diam.	adjective		predicative																						
7397	ind_web_2011_300K	298252	Dalam pada itu, Ki Tumenggung yang berada di ruang dalam masih saja	marah	marah tanpa diketahui siapakah yang harus dimarahi.	Dalam pada itu, Ki Tumenggung yang berada di ruang dalam masih saja <m>marah</m> marah tanpa diketahui siapakah yang harus dimarahi.	adjective		predicative																						
12776	ind-id_web_2015_3M	1730930	Mungkin kamu bisa saja	marah	atau mengungkapkan pendapatmu secara frontal, tetapi apakah itu bisa mengatasi masalah?	Mungkin kamu bisa saja <m>marah</m> atau mengungkapkan pendapatmu secara frontal, tetapi apakah itu bisa mengatasi masalah?	adjective		predicative																						
4431	ind_newscrawl_2011_1M	400991	Tidak lama kemudian masuk kepala sekolah sambil	marah	dan mengambil gambar tersebut kemudian merobeknya.	Tidak lama kemudian masuk kepala sekolah sambil <m>marah</m> dan mengambil gambar tersebut kemudian merobeknya.	adjective		predicative																						
377	ind_mixed_2012_1M	134795	Ó Bentak Eunhyuk sambil	marah	.	Ó Bentak Eunhyuk sambil <m>marah</m>.	adjective		predicative																						
6393	ind_newscrawl_2016_1M	338483	"""Jangan salahkan masyarakat kalau sampai"	marah	"kalau ada anggota yang tidak profesional dan proporsional,"" katanya."	"""Jangan salahkan masyarakat kalau sampai <m>marah</m> kalau ada anggota yang tidak profesional dan proporsional,"" katanya."	adjective		predicative																						
338	ind_mixed_2012_1M	115261	"Nabi Isa berkata: ""Hari ini, Tuhanku sangat"	marah	.	"Nabi Isa berkata: ""Hari ini, Tuhanku sangat <m>marah</m>."	adjective		predicative																						
5534	ind_newscrawl_2012_1M	454981	Pak Anton sangat	marah	setelah mendengar keberadaan Junior dari Vanina.	Pak Anton sangat <m>marah</m> setelah mendengar keberadaan Junior dari Vanina.	adjective		predicative																						
4259	ind_newscrawl_2011_1M	239429	ROBBY sangat	marah	dan mengusir keduanya.	ROBBY sangat <m>marah</m> dan mengusir keduanya.	adjective		predicative																						
10829	ind_wikipedia_2016_1M	926365	Teman-temannya sangat	marah	terutama Ochobot.	Teman-temannya sangat <m>marah</m> terutama Ochobot.	adjective		predicative																						
2469	ind_mixed_2012_1M	887656	Ketika suatu waktu Umar mcngetahui keislarnan saudara perernpuannya, Fathimah dan suarninya Said bin Zaid, dia sangat	marah	dan berniat menyiksa mereka.	Ketika suatu waktu Umar mcngetahui keislarnan saudara perernpuannya, Fathimah dan suarninya Said bin Zaid, dia sangat <m>marah</m> dan berniat menyiksa mereka.	adjective		predicative																						
3001	ind_news_2008_300K	231538	Penguasa komunis China sangat	marah	terhadap aksi kerusuhan warga Tibet itu, karena kasus tersebut telah membayangi persiapan-persiapan Olimpiade dan mengungkapkan persoalan HAM mereka.	Penguasa komunis China sangat <m>marah</m> terhadap aksi kerusuhan warga Tibet itu, karena kasus tersebut telah membayangi persiapan-persiapan Olimpiade dan mengungkapkan persoalan HAM mereka.	adjective		predicative																						
11093	ind-id_web_2013_1M	270088	Firaun yang selama ini mengaku sebagai Tuhan, sangat	marah	melihat Nabi Musa menyadarkan rakyat mesir untuk menyembah Allah.	Firaun yang selama ini mengaku sebagai Tuhan, sangat <m>marah</m> melihat Nabi Musa menyadarkan rakyat mesir untuk menyembah Allah.	adjective		predicative																						
12369	ind-id_web_2015_3M	1198377	"""Kami sangat"	marah	"dengan situasi ini, karena ini bukan kasus pertama yang terjadi,"" ujar Eni."	"""Kami sangat <m>marah</m> dengan situasi ini, karena ini bukan kasus pertama yang terjadi,"" ujar Eni."	adjective		predicative																						
2507	ind_mixed_2012_1M	900546	""" Putri raja tersebut menjadi sangat"	marah	, mengangkat kodok tersebut keatas dan melemparkannya ke dinding sambil menangis, Tetapi ketika kodok tersebut jatuh ke lantai, dia berubah dari kodok menjadi seseorang pangeran yang sangat tampan.	""" Putri raja tersebut menjadi sangat <m>marah</m>, mengangkat kodok tersebut keatas dan melemparkannya ke dinding sambil menangis, Tetapi ketika kodok tersebut jatuh ke lantai, dia berubah dari kodok menjadi seseorang pangeran yang sangat tampan."	adjective		predicative																						
